강좌명\학교명,SNU,KAIST,Korea,Postech,SKKU,Google,Microsoft,Amazon,Coursera,Edx,udacity,Udemy,CMU,Berkeley,MIT,Columbia,Cornell,Harvard,Stanford,MarylandCP,MichiganAA,IllinoisUC,Caltech,GeorgiaTech
Introduction to Computer Programming,"(1, '컴퓨터 프로그래밍')","(1, '전산응용개론')",,"(1, '프로그래밍과 문제해결')","(1, 'AI를 위한 프로그래밍')",,,,,,"(1, 'Introduction to Python Programming')","(1, 'Python(파이썬) 프로그래밍 제대로 배우기')","(0.7, 'Principles of Imperative Computation')","(1, 'The Structure and Interpretation of Computer Programs')","(1, 'Introduction to Computer Science Programming in Python')","(1, 'Introduction To Computer Science And Programming In Java')","(1, 'Introduction to Computing Using Python')","(1, 'Introduction to computer science')","(1, 'Programming Methodology.')","(1, 'Introduction to C Programming')","(0.7, 'Programming and Introductory Data Structures')","(1, 'Intro to Computer Science')","(1, 'Introduction to Computer Programming')","(1, 'Introduction to Computing')"
,,"(1, '프로그래밍기초')",,,,,,,,,,,"(1, 'Fundamentals of Programming and Computer Science')",,,,,,,,"(1, 'Foundations of Computer Science')",,"(1, 'Fundamentals of Computer Programming.')",
Introduction to Computer Programming for Everyone,"(1, '컴퓨터의 개념 및 실습')","(1, '프로그래밍 실습')",,,,,,,"(1, 'Python for Data Science and AI')","(1, 'Programming for Data Science')","(1, 'Introduction to Python Programming')","(1, 'Python(파이썬) 프로그래밍 제대로 배우기')","(1, 'Computing @ Carnegie Mellon')","(1, 'Introduction to Computer Programming for Scientists and Engineers')",,,,"(0.5, 'CS+X: Software enginnering in the arts and humanities')",,,"(1, 'Elementary Programming Concepts')","(1, 'Introduction to Computing')","(1, 'Introduction to Computer Science in Industry')",
,,,,,,,,,,"(1, 'Python for Data Science')",,"(0.5, 'Python for Data Science and Machine Learning Bootcamp')",,,,,,,,,,,"(1, 'Introduction to Matlab and Mathematica')",
,,,,,,,,,,,,"(1, 'Fundamentals of Java with NetBeans')",,,,,,,,,,,,
,,,,,,,,,,,,"(1, 'The Ultimate Python Programming Tutorial')",,,,,,,,,,,,
,,,,,,,,,,,,"(1, 'Python for beginners & logic building practice Questions 3.7')",,,,,,,,,,,,
,,,,,,,,,,,,"(1, 'JavaScript Basics for Beginners')",,,,,,,,,,,,
Object Oriented Programming,"(0.5, '컴퓨터 프로그래밍')","(0.5, '프로그래밍의 이해')",,"(1, '객체지향 프로그래밍')",,,,,,,"(0.7, 'Become a C++ Developer')",,"(0.7, 'Principles of Imperative Computation')",,"(0.7, 'Fundamentals of Programming')","(0.5, 'Advanced Programming')","(1, 'Object-Oriented Programming and Data Structures')","(0.7, 'Abstraction and design in computation')","(0.7, 'Object-Oriented Systems Design.')","(0.5, 'Object-Oriented Programming II')","(1, 'Object Oriented and Advanced Programming')",,"(0.3, 'Introduction to Computer Programming')","(1, 'Introduction to Object Oriented Programming')"
,,,,,,,,,,,,,,,,,,,"(0.7, 'Programming Abstractions.')","(0.5, 'Object-Oriented Programming I')",,,,"(1, 'Objects and Design')"
,,,,,,,,,,,,,,,,,,,"(0.7, 'Programming Abstractions.(Honor)')",,,,,
Data Structures,"(1, '자료구조')","(1, '데이타구조')",,"(1, '데이터 구조')",,,,,,,,"(1, 'Python(파이썬) 응용_자료구조 제대로 배우기')",,"(1, 'Data Structures')",,"(1, 'Data Structures in Java')","(1, 'Data Structures and Functional Programming')","(1, 'Data structures and algorithms')",,"(1, 'Advanced Data Structures')","(0.7, 'Programming and Introductory Data Structures')","(1, 'Data Structures')","(0.5, 'Introduction to Programming Methods')","(1, 'Data Structures and Algorithms for Applications')"
,,,,,,,,,,,,,,,,,,,,,"(0.7, 'Data Structures and Algorithms')",,,
Principles of Functional Programming,,,,,,,,,,,,,"(1, 'Principles of Functional Programming')","(0.3, 'The Structure and Interpretation of Computer Programs')",,,,,,,,,"(1, 'Functional Programming')",
Principles of Programming,"(1, '프로그래밍의 원리')","(0.7, '프로그래밍의 이해')",,,,,,,,,,,,,,,,,"(0.8, 'Computational Logic.')",,,,,
Programming Language,"(1, '프로그래밍 언어')","(1, '프로그래밍 언어')",,,,,,,,,,,,,,,"(1, 'Programming Languages and Logics')","(1, 'programming languages')",,"(1, 'Organization of Programming Languages')",,,"(1, 'Programming Languages')","(1, 'Languages and Computation')"
,,"(1, '프로그래밍 언어 이론')",,,,,,,,,,,,,,,,"(1, 'advanced topics in programming languages')",,"(1, 'Programming Language Technologies and Paradigms')",,,,
Compiler,"(1, '컴파일러')",,,,,,,,,,,,,,,,,"(1, 'compilers')",,"(1, 'Introduction to Compilers')",,,,
Algorithms,"(1, '알고리즘')","(1, '알고리즘 개론')",,"(1, '알고리즘')","(1, '알고리즘 분석')",,,,,,,"(0.7, '지능적인 파이썬 검색 알고리즘')","(0.7, 'Parallel and Sequential Data Structures and Algorithms')","(0.9, 'Efficient Algorithms and Intractable Problems')","(1, 'Introduction to Algorithms')",,,"(0.7, 'Data structures and algorithms')",,"(1, 'Introduction to Algorithms')","(0.7, 'Data Structures and Algorithms')","(1, 'Algorithms')","(1, 'Algorithms')","(0.5, 'Data Structures and Algorithms for Applications')"
,,,,,,,,,,,,,,,,,,,,,,"(1, 'Introduction to Algorithms & Models of Computation')","(0.5, 'Introduction to Programming Methods')","(1, 'Design and Analysis of Algorithms')"
Graduate Algorithms,,"(0.7, '분산 알고리즘 및 시스템')",,,,,,,,,,,"(1, 'Graduate Algorithms')",,"(1, 'Design and Analysis of Algorithms')",,,"(0.7, 'probabilitic analysis and algorithm')","(1, 'Design and Analysis of Algorithms.')","(1, 'Bioinformatic Algorithms & Methods for Functional Genomics and Proteomics')","(1, 'Introduction to Algorithms')",,"(1, 'Probability and Algorithms')","(1, 'Computability, Algorithms, and Complexity')"
,,"(1, '알고리즘 설계와 해석')",,,,,,,,,,,"(1, 'Algorithms in the Real World')",,"(1, 'Algorithms for Inference')",,,"(1, 'Efficient Algorithms')","(0.7, 'Decision Making under Uncertainty.')","(1, 'Bioinformatic Algorithms, Databases, and Tools')",,,"(1, 'Algorithms in the Real World')","(1, 'Introduction to Graduate Algorithms')"
,,,,,,,,,,,,,,,,,,,,"(1, 'Design and Analysis of Computer Algorithms')",,,"(1, 'Analysis and Design of Algorithms')","(1, 'Design and Analysis of Algorithms(graduate)')"
,,,,,,,,,,,,,,,,,,,,,,,"(1, 'Numerical Algorithms and their Implementation')","(1, 'Graph Algorithms')"
,,,,,,,,,,,,,,,,,,,,,,,,"(1, 'Approximation Algorithms')"
,,,,,,,,,,,,,,,,,,,,,,,,"(1, 'Randomized Algorithms')"
,,,,,,,,,,,,,,,,,,,,,,,,"(1, 'Markov Chain Monte Carlo Algorithms')"
,,,,,,,,,,,,,,,,,,,,,,,,"(1, 'Spectral Algorithms and Representations')"
,,,,,,,,,,,,,,,,,,,,,,,,"(1, ' Computational Science and Engineering Algorithms')"
Computational Complexity Theory,,,,,,,,,,,,,,,,"(1, 'Computer Science Theory')",,"(0.8, 'Introduction to theoritical computer science')","(1, 'Computational Complexity.')",,,,"(1, 'Computability Theory')","(1, 'Computational Complexity Theory')"
Computer Systems,"(1, '시스템 프로그래밍')","(1, '시스템 프로그래밍')",,,,,,,,,,,"(1, 'Introduction to Computer Systems')","(0.5, 'Designing Information Devices and Systems 1')","(1, 'Computer Systems Engineering')","(1, 'Fundamentals of Computer Systems')",,"(1, 'Systems programming and machine organization')","(1, 'Computer Systems from the Ground Up.')","(1, 'Introduction to Computer Systems')",,"(1, 'Computer Systems & Programming')","(1, 'Introduction to Computing Systems')",
,,"(0.8, '소프트웨어 및 시스템 설계')",,,,,,,,,,,,"(0.5, 'Designing Information Devices and Systems 2')",,,,,"(1, 'Principles of Computer Systems.')",,,"(0.7, 'Computer Systems Engineering')",,
,,,,,,,,,,,,,,,,,,,"(0.7, 'Operating Systems and Systems Programming.')",,,"(1, 'System Programming')",,
Database,"(1, '데이터베이스')","(1, '데이타베이스 개론')",,,,,"(0.5, 'Microsoft R and SQL Server ML Services')",,,,,"(0.5, 'SQL BootCamp 2019 - SQL for Beginners (SQL Mastery Course)')","(0.5, 'Multimedia Databases and Datamining')",,,"(1, 'Introduction to Databases')",,,"(1, 'Data Management and Data Systems.')","(1, 'Database Design')","(1, 'Database Management Systems')",,,
,,"(1, '데이타베이스 시스템')",,,,,,,,,,,,,,,,,"(0.8, 'Principles of Data-Intensive Systems.')","(0.5, 'Bioinformatic Algorithms, Databases, and Tools')",,,,
,,"(1, '데이터베이스 설계')",,,,,,,,,,,,,,,,,,,,,,
