강좌명\학교명,CMU,Berkely,SNU,MIT,GeorgiaTech
Introduction to Computer Programming,"(1, 'Principles of Imperative Computation')","(1, 'The Structure and Interpretation of Computer Programs')","(1, '컴퓨터 프로그래밍')","(1, 'Introduction to Computer Science Programming in Python')","(1, 'Introduction to Computing')"
Introduction to Computer Programming for Scientists and Engineers,"(1, 'Computing @ Carnegie Mellon')","(1, 'Introduction to Computer Programming for Scientists and Engineers')","(1, '컴퓨터의 개념 및 실습')",,
Object Oriented Programming,,,"(0.5, '컴퓨터 프로그래밍')","(0.7, 'Fundamentals of Programming')","(1, 'Introduction to Object Oriented Programming')"
,,,,,"(1, 'Objects and Design')"
Data Structures,,"(1, 'Data Structures')","(1, '자료구조')",,"(1, 'Data Structures and Algorithms for Applications')"
프로그래밍의 원리,,,"(1, '프로그래밍의 원리')",,
프로그래밍 언어,,,"(1, '프로그래밍 언어')",,"(1, 'Languages and Computation')"
컴파일러,,,"(1, '컴파일러')",,
Algorithms,"(0.7, 'Parallel and Sequential Data Structures and Algorithms')","(0.9, 'Efficient Algorithms and Intractable Problems')","(1, '알고리즘')","(1, 'Introduction to Algorithms')","(0.5, 'Data Structures and Algorithms for Applications')"
,,,,,"(1, 'Design and Analysis of Algorithms')"
Graduate Algorithms,"(1, 'Graduate Algorithms')",,,"(1, 'Design and Analysis of Algorithms')","(1, 'Computability, Algorithms, and Complexity')"
,"(1, 'Algorithms in the Real World')",,,"(1, 'Algorithms for Inference')","(1, 'Introduction to Graduate Algorithms')"
,,,,,"(1, 'Design and Analysis of Algorithms(graduate)')"
,,,,,"(1, 'Graph Algorithms')"
,,,,,"(1, 'Approximation Algorithms')"
,,,,,"(1, 'Randomized Algorithms')"
,,,,,"(1, 'Markov Chain Monte Carlo Algorithms')"
,,,,,"(1, 'Spectral Algorithms and Representations')"
,,,,,"(1, ' Computational Science and Engineering Algorithms')"
Computational Complexity Theory,,,,,"(1, 'Computational Complexity Theory')"
Computer Systems,"(1, 'Introduction to Computer Systems')","(0.5, 'Designing Information Devices and Systems 1')","(1, '시스템 프로그래밍')","(1, 'Computer Systems Engineering')",
,,"(0.5, 'Designing Information Devices and Systems 2')",,,
Database,"(0.5, 'Multimedia Databases and Datamining')",,"(1, '데이터베이스')",,
오토마타,,,"(1, '오토마타 이론')","(1, 'Automata, Computability, and Complexity')","(1, 'Automata and Complexity Theory')"
논리설계,,,"(1, '논리설계')",,
컴퓨터 구조,,,"(1, '컴퓨터 구조')","(1, 'Computation Structures')","(0.9, 'Computer Organization and Programming')"
운영체제,,,"(1, '운영체제')",,
전기전자회로,,,"(1, '전기전자회로')","(0.5, 'Introduction to EECS via Robotics')","(0.5, 'Prototyping Intelligence Appliances')"
하드웨어시스템설계,,,"(1, '하드웨어시스템설계')","(0.5, 'Introduction to EECS via Robotics')",
Great Ideas in Theoretical Computer Science,"(1, 'Great Ideas in Theoretical Computer Science')",,,,
Software Design,"(0.7, 'Designing Human Centered Software:')",,"(1, '소프트웨어 개발의 원리와 실습')","(1, 'Elements of Software Construction')","(1, 'Software Development Process')"
Software Engineering,,,"(1, '소프트웨어 공학')",,"(1, 'Advanced Topics in Software Engineering')"
Human-Computer Interaction,,,,,"(1, 'Human-Computer Interaction')"
Calculus 1,"(0.5, 'Differential and Integral Calculus')","(1, 'Calculus')","(1, '공학수학 1')",,
Calculus 2,"(0.5, 'Differential and Integral Calculus')","(1, 'Multivariable Calculus')","(1, '공학수학 2')",,
Linear Algebra,"(0.8, 'Matrices and Linear Transformations')","(1, 'Linear Algebra and Differential Equations')","(0.5, '선형 및 비선형 계산모델')",,
Discrete Mathematics and Probability Theory,"(0.8, 'Probability Theory for Computer Scientists')","(1, 'Discrete Mathematics and Probability Theory')","(0.8, '이산수학')","(0.5, 'Introduction to Probability')","(0.5, 'Introduction to Discrete Mathematics for Computer Science')"
,,,,"(0.5, 'Mathematics for Computer Science')",
Probability and Computing,"(1, 'Probability and Computing')","(1, 'Probability and Random Processes')",,,
Advanced Methods for Data Analysis,"(1, 'Advanced Methods for Data Analysis')",,,,"(0.5, 'Big Data Systems and Analytics')"
Introduction to Statistics,"(1, 'Probability and Mathematical Statistics')","(1, 'Introduction to Statistics')",,,
Intermediate Statistics,"(1, 'Intermediate Statistics')",,,,"(0.5, ' Computational Statistics')"
Modern Regression,"(1, 'Modern Regression')",,,,
Regression Analysis,"(1, 'Regression Analysis')",,,,
Advanced Statistical Theory I,"(1, 'Advanced Statistical Theory I')",,,,"(0.5, ' Bayesian Methods')"
Advanced Statistical Theory:,"(1, 'Advanced Statistical Theory:')",,,,
Inference and Information,,,,"(1, 'Inference and Information')","(1, 'Introduction to Information Theory')"
Introduction to Machine Learning,"(1, 'Introduction to Machine Learning')","(1, 'Introduction to Machine Learning')","(1, '기계학습 개론')","(1, 'Introduction to Machine Learning')","(1, 'Machine Learning')"
,,,,"(0.7, 'Statistical Learning Theory and Applications')",
Advanced Introduction to Machine Learning,"(1, 'Advanced Introduction to Machine Learning')","(0.5, 'Statistical machine learning')",,,"(1, 'Machine Learning(graduate)')"
Advanced Machine Learning: Theory and Methods,"(1, 'Advanced Machine Learning: Theory and Methods')","(0.5, 'Statistical Learning Theory')","(1, '기계학습')",,"(1, 'Theoretical Foundations of Machine Learning')"
,,"(0.5, 'Advances Topics in Learning and Decision Making ')",,,
Machine Learning for Trading,,,,,"(1, 'Machine Learning for Trading')"
,,,,,"(1, 'Machine Learning for Trading(graduate)')"
Machine Learning for Structured Data,"(1, 'Machine Learning for Structured Data')",,,,
Machine Learning with Large Datasets,"(1, 'Machine Learning with Large Datasets')",,,,"(0.5, 'Big Data Systems and Analytics')"
Big Data for Health,,,,,"(1, ' Big Data for Health')"
,,,,,"(0.5, 'Information to Health Informatics')"
Probabilistic Graphical Models,"(1, 'Probabilistic Graphical Models')",,,,
Foundation of Data Science,,"(1, 'Computational Structures in Data Science')",,,
,,"(0.5, 'Foundation of Data Sciecne')",,,
Data Analysis,"(1, 'Data Analysis')",,,,"(1, ' Computational Data Analysis: Learning, Mining, and Computation')"
Optimization,,"(1, 'Optimization Models in Engineering')",,,"(0.7, ' Stochastic Optimization')"
Convex Optimization,"(1, 'Convex Optimization')","(0.5, 'Introduction to Convex Optimization')",,,
,,"(0.5, 'Convex Optimization and Approximation')",,,
,,"(1, 'Convex Optimization')",,,
Integration and Approximation,"(1, 'Integration and Approximation')","(0.3, 'Convex Optimization and Approximation')",,,"(0.7, 'Approximation Algorithms')"
Scalability in Machine Learning,"(1, 'Scalability in Machine Learning')",,,,
Machine Learning for Text Mining,"(1, 'Machine Learning for Text Mining')",,,,"(0.5, ' Web Search and Text Mining')"
Search Engines,"(1, 'Search Engines')",,,,
Speech Processing,"(1, 'Speech Processing')",,,"(1, 'Automatic Speech Recognition')",
Principles of Functional Programming,"(1, 'Principles of Functional Programming')","(0.3, 'The Structure and Interpretation of Computer Programs')",,,
Mathematical Foundations for Computer Science,"(1, 'Mathematical Foundations for Computer Science')",,,,
인공지능 이해,"(1, 'Freshman Seminar: Artificial Intelligence and Humanity')",,"(1, '인공지능 입문')",,
Concepts in Artificial Intelligence,"(1, 'AI, Society, and Humanity')",,,,"(1, 'AI Storytelling in Virtual Worlds')"
,"(1, 'Concepts in Artificial Intelligence')",,,,
Topics in Deep Learning,"(1, 'Topics in Deep Learning')","(1, 'Special Topics in Deep Learning')","(1, '인공지능 특강')",,
Intoduction to Artificial Intelligence,"(1, 'Artificial Intelligence: Representation and Problem Solving')","(1, 'Intoduction to Artificial Intelligence')","(1, '인공지능')","(1, 'Artificial Intelligence')","(1, 'Introduction to Artificial Intelligence')"
Graduate Artificial Intelligence,"(1, 'Graduate Artificial Intelligence')",,"(1, '고급 인공지능')",,"(1, 'Artificial Intelligence')"
Artificial Intelligence for Robotics,,,,,"(1, 'Artificial Intelligence for Robotics')"
Case-Based Reasoning,,,,,"(1, 'Case-Based Reasoning')"
