강좌명\학교명,SNU,KAIST,Korea,udacity,Udemy,CMU,Berkeley,MIT,GeorgiaTech
Introduction to Computer Programming,"(1, '컴퓨터 프로그래밍')","(1, '전산응용개론')",,"(1, 'Introduction to Python Programming')","(1, 'Python(파이썬) 프로그래밍 제대로 배우기')","(1, 'Principles of Imperative Computation')","(1, 'The Structure and Interpretation of Computer Programs')","(1, 'Introduction to Computer Science Programming in Python')","(1, 'Introduction to Computing')"
,,"(1, '프로그래밍기초')",,,,,,,
Introduction to Computer Programming for Everyone,"(1, '컴퓨터의 개념 및 실습')","(1, '프로그래밍 실습')",,"(1, 'Introduction to Python Programming')","(1, 'Python(파이썬) 프로그래밍 제대로 배우기')","(1, 'Computing @ Carnegie Mellon')","(1, 'Introduction to Computer Programming for Scientists and Engineers')",,
,,,,,"(0.5, 'Python for Data Science and Machine Learning Bootcamp')",,,,
,,,,,"(1, 'Fundamentals of Java with NetBeans')",,,,
,,,,,"(1, 'The Ultimate Python Programming Tutorial')",,,,
,,,,,"(1, 'Python for beginners & logic building practice Questions 3.7')",,,,
,,,,,"(1, 'JavaScript Basics for Beginners')",,,,
Object Oriented Programming,"(0.5, '컴퓨터 프로그래밍')","(0.5, '프로그래밍의 이해')",,,,,,"(0.7, 'Fundamentals of Programming')","(1, 'Introduction to Object Oriented Programming')"
,,,,,,,,,"(1, 'Objects and Design')"
Data Structures,"(1, '자료구조')","(1, '데이타구조')",,,"(1, 'Python(파이썬) 응용_자료구조 제대로 배우기')",,"(1, 'Data Structures')",,"(1, 'Data Structures and Algorithms for Applications')"
프로그래밍의 원리,"(1, '프로그래밍의 원리')","(0.7, '프로그래밍의 이해')",,,,,,,
프로그래밍 언어,"(1, '프로그래밍 언어')","(1, '프로그래밍 언어')",,,,,,,"(1, 'Languages and Computation')"
,,"(1, '프로그래밍 언어 이론')",,,,,,,
컴파일러,"(1, '컴파일러')",,,,,,,,
Algorithms,"(1, '알고리즘')","(1, '알고리즘 개론')",,,"(0.7, '지능적인 파이썬 검색 알고리즘')","(0.7, 'Parallel and Sequential Data Structures and Algorithms')","(0.9, 'Efficient Algorithms and Intractable Problems')","(1, 'Introduction to Algorithms')","(0.5, 'Data Structures and Algorithms for Applications')"
,,,,,,,,,"(1, 'Design and Analysis of Algorithms')"
Graduate Algorithms,,"(0.7, '분산 알고리즘 및 시스템')",,,,"(1, 'Graduate Algorithms')",,"(1, 'Design and Analysis of Algorithms')","(1, 'Computability, Algorithms, and Complexity')"
,,"(1, '알고리즘 설계와 해석')",,,,"(1, 'Algorithms in the Real World')",,"(1, 'Algorithms for Inference')","(1, 'Introduction to Graduate Algorithms')"
,,,,,,,,,"(1, 'Design and Analysis of Algorithms(graduate)')"
,,,,,,,,,"(1, 'Graph Algorithms')"
,,,,,,,,,"(1, 'Approximation Algorithms')"
,,,,,,,,,"(1, 'Randomized Algorithms')"
,,,,,,,,,"(1, 'Markov Chain Monte Carlo Algorithms')"
,,,,,,,,,"(1, 'Spectral Algorithms and Representations')"
,,,,,,,,,"(1, ' Computational Science and Engineering Algorithms')"
Computational Complexity Theory,,,,,,,,,"(1, 'Computational Complexity Theory')"
Computer Systems,"(1, '시스템 프로그래밍')","(1, '시스템 프로그래밍')",,,,"(1, 'Introduction to Computer Systems')","(0.5, 'Designing Information Devices and Systems 1')","(1, 'Computer Systems Engineering')",
,,"(0.8, '소프트웨어 및 시스템 설계')",,,,,"(0.5, 'Designing Information Devices and Systems 2')",,
Database,"(1, '데이터베이스')","(1, '데이타베이스 개론')",,,"(0.5, 'SQL BootCamp 2019 - SQL for Beginners (SQL Mastery Course)')","(0.5, 'Multimedia Databases and Datamining')",,,
,,"(1, '데이타베이스 시스템')",,,,,,,
,,"(1, '데이터베이스 설계')",,,,,,,
오토마타,"(1, '오토마타 이론')","(1, '형식언어 및 오토마타')",,,,,,"(1, 'Automata, Computability, and Complexity')","(1, 'Automata and Complexity Theory')"
논리설계,"(1, '논리설계')",,,,,,,,
컴퓨터 구조,"(1, '컴퓨터 구조')","(0.7, '전산기조직')",,,,,,"(1, 'Computation Structures')","(0.9, 'Computer Organization and Programming')"
,,"(1, '컴퓨터 구조')",,,,,,,
운영체제,"(1, '운영체제')","(1, '운영체제 및 실험')",,,,,,,
,,"(1, '운영체제')",,,,,,,
전기전자회로,"(1, '전기전자회로')","(1, '디지탈시스템 및 실험')",,,,,,"(0.5, 'Introduction to EECS via Robotics')","(0.5, 'Prototyping Intelligence Appliances')"
하드웨어시스템설계,"(1, '하드웨어시스템설계')","(0.8, '내장형 컴퓨터 시스템')",,,,,,"(0.5, 'Introduction to EECS via Robotics')",
Great Ideas in Theoretical Computer Science,,,,,,"(1, 'Great Ideas in Theoretical Computer Science')",,,
Software Design,"(1, '소프트웨어 개발의 원리와 실습')",,,,,"(0.7, 'Designing Human Centered Software:')",,"(1, 'Elements of Software Construction')","(1, 'Software Development Process')"
Software Engineering,"(1, '소프트웨어 공학')","(1, '소프트웨어 공학개론')",,,,,,,"(1, 'Advanced Topics in Software Engineering')"
,,"(1, '소프트웨어 공학')",,,,,,,
,,"(1, '소프트웨어 시스템 모델링')",,,,,,,
Human-Computer Interaction,,,,,,,,,"(1, 'Human-Computer Interaction')"
기초수학,,,,,"(1, 'Become an Algebra Master')",,,,
,,,,,"(1, 'Become a Trigonometry & Precalculus Master')",,,,
,,,,,"(1, 'Become a Geometry Master')",,,,
Calculus,"(1, '공학수학 1')",,"(1, '미적분 (Calculus)')",,"(1, 'Become a Calculus 1 Master')","(1, 'Differential and Integral Calculus')","(1, 'Calculus')",,
,"(1, '공학수학 2')",,,,"(1, 'Calculus I - Introduction to Derivatives')",,"(1, 'Multivariable Calculus')",,
